Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-30 09:30:00-05:00,149.1199951171875,149.4499969482422,149.0399932861328,149.4499969482422,50143,0,0
2020-12-30 09:31:00-05:00,149.39559936523438,149.6699981689453,149.24530029296875,149.63999938964844,20690,0,0
2020-12-30 09:32:00-05:00,149.6199951171875,149.6699981689453,149.47000122070312,149.5800018310547,11535,0,0
2020-12-30 09:33:00-05:00,149.53500366210938,149.63999938964844,149.41000366210938,149.6199951171875,6708,0,0
2020-12-30 09:34:00-05:00,149.50999450683594,149.50999450683594,149.10000610351562,149.12010192871094,9229,0,0
2020-12-30 09:35:00-05:00,149.0,149.02999877929688,148.93890380859375,149.02999877929688,12631,0,0
2020-12-30 09:36:00-05:00,149.02000427246094,149.36000061035156,148.9600067138672,149.35989379882812,8914,0,0
2020-12-30 09:37:00-05:00,149.3249969482422,149.60000610351562,149.3249969482422,149.5050048828125,11495,0,0
2020-12-30 09:38:00-05:00,149.49000549316406,149.66000366210938,149.4600067138672,149.5449981689453,7913,0,0
2020-12-30 09:39:00-05:00,149.50999450683594,149.55999755859375,149.3800048828125,149.43670654296875,11527,0,0
2020-12-30 09:40:00-05:00,149.47000122070312,149.47999572753906,149.31849670410156,149.4595947265625,5249,0,0
2020-12-30 09:41:00-05:00,149.49000549316406,149.49000549316406,149.49000549316406,149.49000549316406,7643,0,0
2020-12-30 09:42:00-05:00,149.4550018310547,149.4550018310547,149.22000122070312,149.22000122070312,9377,0,0
2020-12-30 09:43:00-05:00,149.22000122070312,149.27999877929688,149.14999389648438,149.1699981689453,8432,0,0
2020-12-30 09:44:00-05:00,149.19000244140625,149.55999755859375,149.19000244140625,149.5500030517578,7358,0,0
2020-12-30 09:45:00-05:00,149.42999267578125,149.42999267578125,149.41000366210938,149.41000366210938,7022,0,0
2020-12-30 09:46:00-05:00,149.4499969482422,149.5800018310547,149.38999938964844,149.5800018310547,7856,0,0
2020-12-30 09:47:00-05:00,149.60000610351562,149.74000549316406,149.56500244140625,149.6822052001953,12035,0,0
2020-12-30 09:48:00-05:00,149.75,149.94000244140625,149.6800994873047,149.94000244140625,17101,0,0
2020-12-30 09:49:00-05:00,150.0,150.0500030517578,150.0,150.0500030517578,43937,0,0
2020-12-30 09:50:00-05:00,150.01220703125,150.25,149.9499969482422,150.19509887695312,13265,0,0
2020-12-30 09:51:00-05:00,150.25,150.41000366210938,150.2021026611328,150.25999450683594,23420,0,0
2020-12-30 09:52:00-05:00,150.24000549316406,150.24000549316406,149.83299255371094,149.8437042236328,13980,0,0
