Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI,RSI_smoothed
125.52999877929688,0.0,0.0,0.0,0.0,0.0,0.0,
125.32009887695312,0.0,-0.20989990234375,0.0,0.0,0.0,0.0,
125.44550323486328,0.12540435791015625,0.0,0.0,0.0,0.0,0.0,
125.41999816894531,0.0,-0.02550506591796875,0.0,0.0,0.0,0.0,
125.39530181884766,0.0,-0.02469635009765625,0.0,0.0,0.0,0.0,
125.45500183105469,0.05970001220703125,0.0,0.0,0.0,0.0,0.0,
125.51000213623048,0.05500030517579546,0.0,0.0,0.0,0.0,0.0,
125.66999816894531,0.15999603271482954,0.0,0.0,0.0,0.0,0.0,
125.7300033569336,0.06000518798828125,0.0,0.0,0.0,0.0,0.0,
125.5999984741211,0.0,-0.1300048828125,0.0,0.0,0.0,0.0,
125.48999786376952,0.0,-0.11000061035157671,0.0,0.0,0.0,0.0,
125.5500030517578,0.06000518798828125,0.0,0.0,0.0,0.0,0.0,
125.55999755859376,0.009994506835965922,0.0,0.0,0.0,0.0,0.0,
125.4646987915039,0.0,-0.09529876708985796,0.0,0.0,0.0,0.0,
125.45999908447266,0.0,-0.00469970703125,0.0,0.0,0.0,0.0,46.90324627545767
125.4800033569336,0.0200042724609375,0.0,0.03786468505859578,0.04286466326032569,0.8833543104873113,46.90324627545767,47.89639824408995
125.54000091552734,0.05999755859375,0.0,0.03929356166294846,0.027871813092914977,1.4097956789519694,58.50270590430702,50.86488564609518
125.38999938964844,0.0,-0.15000152587890625,0.034621647426062295,0.027871813092914977,1.2421742105777513,55.40043252293382,44.10010296231779
125.37999725341795,0.0,-0.01000213623048296,0.034621647426062295,0.03676441737583908,0.9417161999911094,48.49916790081997,43.682917481679
125.3949966430664,0.01499938964845171,0.0,0.034621647426062295,0.03571483067104099,0.9693913361917437,49.22289025939748,44.53036035439946
125.36000061035156,0.0,-0.03499603271484375,0.03142874581473519,0.03571483067104099,0.8799914552085185,46.808268876462236,42.908031890690154
125.38500213623048,0.02500152587892046,0.0,0.027500152587892655,0.038214547293529834,0.7196252352974688,41.847794538382935,44.46465835931922
125.3499984741211,0.0,-0.03500366210938921,0.01785768781389915,0.038214547293529834,0.46730078147288856,31.84764755620236,42.70892062437096
125.47000122070312,0.12000274658203125,0.0,0.013571602957593345,0.040714808872771915,0.3333333333333998,25.000000000003737,49.99831884518472
125.43499755859376,0.0,-0.03500366210936079,0.022143227713452722,0.0314287458147362,0.7045533361076814,41.333604597936315,48.07678912060883
125.45999908447266,0.02500152587889204,0.0,0.022143227713452722,0.026071820940292208,0.8493165001464046,45.92596778751322,49.567655026114565
125.2300033569336,0.0,-0.2299957275390625,0.019642966134210633,0.026071820940292208,0.7534174992684833,42.96851717191172,38.590390060882015
125.20999908447266,0.0,-0.0200042724609375,0.018929072788784498,0.04250008719308239,0.44538903421039394,30.814474419595058,37.806155520742635
125.13999938964844,0.0,-0.06999969482421875,0.018929072788784498,0.03712190900530236,0.5099164697074371,33.771170785774586,35.11684841349438
125.2300033569336,0.09000396728515625,0.0,0.018929072788784498,0.04178619384765726,0.4529982524322625,31.176792654358735,40.93467376743074
125.36000061035156,0.12999725341796875,0.0,0.023929050990514407,0.04178619384765726,0.5726544771642557,36.413241781935604,48.16428645179652
125.37010192871094,0.010101318359375,0.0,0.02892902919224432,0.04178619384765726,0.692310701896249,40.90919599577718,48.68983686901051
125.48999786376952,0.11989593505857954,0.0,0.029650551932199676,0.031071799142021104,0.9542592560113665,48.82971658320324,54.576593579955414
125.3949966430664,0.0,-0.09500122070311079,0.03821454729352679,0.03035736083984375,1.2588231070261733,55.72915838830168,49.70999197290754
125.33999633789062,0.0,-0.05500030517578125,0.03714316231863738,0.03714316231863738,1.0,50.0,47.09189268692825
125.16000366210938,0.0,-0.17999267578125,0.03714316231863738,0.038572038922990055,0.9629556371856448,49.05641365213258,39.7193260374959
125.08000183105469,0.0,-0.0800018310546875,0.03535733904157163,0.05142865862165077,0.6875026490908062,40.74083376765182,36.950339929029475
125.08999633789062,0.0099945068359375,0.0,0.03535733904157163,0.054642813546314936,0.6470629300887472,39.285865662332775,37.53619937604829
125.06999969482422,0.0,-0.01999664306640625,0.027499607631136364,0.054642813546314936,0.5032611947740915,33.47796088421754,36.799428964997524
125.0500030517578,0.0,-0.01999664306642046,0.027499607631136364,0.053570883614675324,0.5133312309898704,33.92061304742255,36.03766022222378
124.98400115966795,0.0,-0.06600189208984375,0.025713784354072646,0.05499921526227679,0.4675300225912383,31.858293554070798,33.56771234624945
124.94000244140624,0.0,-0.04399871826171875,0.025713784354072646,0.043285369873046875,0.5940525500761452,37.266810937178214,31.99350703406956
124.9499969482422,0.009994506835965922,0.0,0.025713784354072646,0.04499925885881696,0.5714268413786197,36.363566303685154,32.76484036169057
124.91999816894531,0.0,-0.02999877929688921,0.026427677699498782,0.03999928065708706,0.6607038243028087,39.784566918799214,31.606091276474114
124.99359893798828,0.07360076904296875,0.0,0.019998822893416195,0.04214205060686486,0.47455742199119344,32.18304115619769,37.45084538692273
125.01010131835938,0.01650238037109375,0.0,0.015970502580916195,0.04214205060686486,0.3789683309410347,27.48201843637841,38.715432838504306
125.16999816894531,0.1598968505859375,0.0,0.01642772129603896,0.04214205060686486,0.38981779622662494,28.04812237150695,49.39185712007934
125.19000244140624,0.02000427246092329,0.0,0.0192849295479931,0.04214205060686486,0.4576172556930968,31.3948846245992,50.55246857092752
125.13500213623048,0.0,-0.05500030517575283,0.020713806152344767,0.03535624912807123,0.5858598313784072,36.94272468388243,47.33804024500273
