Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI,RSI_smoothed
30.114999771118164,0.0,0.0,0.0,0.0,0.0,0.0,
30.08799934387207,0.0,-0.02700042724609375,0.0,0.0,0.0,0.0,
30.114999771118164,0.02700042724609375,0.0,0.0,0.0,0.0,0.0,
30.10000038146973,0.0,-0.014999389648433947,0.0,0.0,0.0,0.0,
30.13500022888184,0.034999847412109375,0.0,0.0,0.0,0.0,0.0,
30.170000076293945,0.03499984741210582,0.0,0.0,0.0,0.0,0.0,
30.17499923706055,0.004999160766605115,0.0,0.0,0.0,0.0,0.0,
30.190000534057614,0.015001296997063207,0.0,0.0,0.0,0.0,0.0,
30.209999084472656,0.019998550415042615,0.0,0.0,0.0,0.0,0.0,
30.20499992370605,0.0,-0.004999160766605115,0.0,0.0,0.0,0.0,
30.184999465942386,0.0,-0.02000045776366477,0.0,0.0,0.0,0.0,
30.20989990234375,0.024900436401363635,0.0,0.0,0.0,0.0,0.0,
30.19499969482422,0.0,-0.01490020751953125,0.0,0.0,0.0,0.0,
30.17499923706055,0.0,-0.020000457763668322,0.0,0.0,0.0,0.0,
30.17499923706055,0.0,0.0,0.0,0.0,0.0,0.0,61.372164821738586
30.170000076293945,0.0,-0.004999160766605115,0.01156425476074168,0.007278578621999797,1.5888067384184397,61.372164821738586,60.14471148998377
30.18000030517578,0.010000228881835938,0.0,0.01156425476074168,0.005707059587750608,2.026306994509521,66.95642570914814,61.79096653327644
30.149999618530273,0.0,-0.030000686645507812,0.010349954877580407,0.005707059587750608,1.8135354499881364,64.45752976013803,54.51585099245598
30.1200008392334,0.0,-0.029998779296875,0.010349954877580407,0.006778580801827313,1.5268616219475253,60.42521714231145,48.3817170451775
30.1200008392334,0.0,0.0,0.007849965776715453,0.008921350751604098,0.8799077623199597,46.80590079771157,48.381717045177496
30.1200008392334,0.0,0.0,0.005349976675850751,0.008921350751604098,0.599682360307244,37.487589735756394,48.381717045177496
30.11000061035156,0.0,-0.01000022888183949,0.004992893763950386,0.008921350751604098,0.5596567047935697,35.883326316200055,46.21656437626186
30.104999542236328,0.0,-0.005001068115230822,0.003921372549874442,0.009635652814592634,0.4069649068235161,28.925021857319436,45.128888741285834
30.13999938964844,0.03499984741211293,0.0,0.002492904663085684,0.00999287196568055,0.24946828816053065,19.965955960979073,53.3953406666586
30.122600555419922,0.0,-0.017398834228519178,0.004992893763950893,0.009635789053780184,0.5181613810850444,34.13084982537954,49.41031015106147
30.11000061035156,0.0,-0.012599945068362928,0.004992893763950893,0.009449958801269785,0.5283508498767213,34.56999745309389,46.69256217927995
30.045000076293945,0.0,-0.06500053405761363,0.0032142911638534904,0.010349954877581422,0.31056088667746984,23.696791948736006,35.763853216570844
30.040000915527344,0.0,-0.0049991607666015625,0.0032142911638534904,0.013928549630301592,0.23076998317619463,18.75004967058561,35.08372358363845
30.020000457763672,0.0,-0.020000457763671875,0.0032142911638534904,0.012857028416225396,0.25000264911891296,20.00016954325112,32.426800347687504
30.04999923706055,0.029998779296878553,0.0,0.0032142911638534904,0.014285632542201958,0.22500166893961324,18.367458154924748,39.791869049241036
30.07500076293945,0.025001525878899145,0.0,0.00535706111363053,0.013928549630301592,0.38461011776676524,27.777503055307875,45.156896599042064
30.07500076293945,0.0,0.0,0.0064285823277064735,0.013928549630301592,0.46153996635235284,31.57901781531463,45.15689659904207
30.104999542236328,0.029998779296878553,0.0,0.0064285823277064735,0.011785643441336749,0.5454587490029592,35.2942936428978,51.207222718327515
30.08799934387207,0.0,-0.017000198364257812,0.008571352277483513,0.009642873491559964,0.8888794698992668,47.058559535652655,47.977052457720646
30.07500076293945,0.0,-0.01299858093262074,0.008571352277483513,0.010857173374721236,0.7894644380866385,44.11735831591954,45.60806647836269
30.045000076293945,0.0,-0.03000068664550426,0.008571352277483513,0.011785643441337004,0.7272706254985047,42.10519271052898,40.622489786658356
30.03000068664551,0.0,-0.014999389648433947,0.008571352277483513,0.013214247567313058,0.6486447475591214,39.344118769035205,38.36445882609643
30.023399353027344,0.0,-0.006601333618167615,0.008571352277483513,0.013928413391113281,0.6153861202132525,38.09529576322058,37.3796733520399
30.02199935913086,0.0,-0.001399993896484375,0.006071363176618304,0.014399937220982397,0.4216242809566986,29.65792626114697,37.161807816196166
30.024999618530273,0.0030002593994140625,0.0,0.006071363176618304,0.013257162911551339,0.45796851235253017,31.411413104770503,37.995855912845535
30.0049991607666,0.0,-0.020000457763671875,0.006285667419433594,0.012357166835239701,0.5086657405569993,33.71626509986234,34.69032240663231
30.0049991607666,0.0,0.0,0.006285667419433594,0.009142875671386719,0.6874934807551893,40.74051180615651,34.69032240663232
30.0,0.0,-0.0049991607666015625,0.006285667419433594,0.008785792759486608,0.7154354298474134,41.70576271186441,33.83697974646113
29.989999771118164,0.0,-0.010000228881835938,0.006285667419433594,0.007714271545410156,0.8148102361231302,44.89782016348774,32.134119355376114
30.0049991607666,0.0149993896484375,0.0,0.0041428974696565545,0.008428573608398438,0.49153008114308566,32.9547548089935,37.236174943932646
29.99449920654297,0.0,-0.010499954223632812,0.0034284591674807225,0.008428573608398438,0.406766236705167,28.914984315934916,35.23900145466813
30.020000457763672,0.025501251220703125,0.0,0.0034284591674807225,0.009178570338657923,0.37352866960564435,27.194821474886922,43.20627699043648
30.041000366210934,0.020999908447262072,0.0,0.0031072071620396207,0.009178570338657923,0.3385284469578899,25.291090953447636,48.79310541977111
30.024999618530273,0.0,-0.01600074768066051,0.00460720062255834,0.007964270455496652,0.5784836976974603,36.64806285559341,45.14876894848756
