Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12,0.10108667612075806,0.1015261817243629,0.10108667612075806,0.10108667612075806,469033600,0.0,0.0
1980-12-15,0.0962521453265067,0.0962521453265067,0.09581263363361359,0.09581263363361359,175884800,0.0,0.0
1980-12-16,0.08921999076065468,0.08921999076065468,0.0887804850935936,0.0887804850935936,105728000,0.0,0.0
1980-12-17,0.09097800403833389,0.0914175096316821,0.09097800403833389,0.09097800403833389,86441600,0.0,0.0
1980-12-18,0.09361504763364792,0.09405455321901078,0.09361504763364792,0.09361504763364792,73449600,0.0,0.0
1980-12-19,0.0993286594748497,0.0997681651559083,0.0993286594748497,0.0993286594748497,48630400,0.0,0.0
1980-12-22,0.104163259267807,0.10460276500721598,0.104163259267807,0.104163259267807,37363200,0.0,0.0
1980-12-23,0.10855832695960997,0.10899783269319548,0.10855832695960997,0.10855832695960999,46950400,0.0,0.0
1980-12-24,0.11427190899848938,0.1147114146706522,0.11427190899848938,0.11427190899848938,48003200,0.0,0.0
1980-12-26,0.12482006847858429,0.125259574067662,0.12482006847858429,0.12482006847858429,55574400,0.0,0.0
1980-12-29,0.12657807767391205,0.12701758321729206,0.12657807767391205,0.12657807767391205,93161600,0.0,0.0
1980-12-30,0.12394102238548847,0.12394102238548847,0.1235015168786049,0.12350151687860489,68880000,0.0,0.0
1980-12-31,0.1204249368309827,0.1204249368309827,0.11998543143272399,0.119985431432724,35750400,0.0,0.0
1981-01-02,0.12130401283502579,0.12218303584017108,0.12130401283502579,0.12130401283502579,21660800,0.0,0.0
1981-01-05,0.1191064449252753,0.1191064449252753,0.11866693943738939,0.11866693943738937,35728000,0.0,0.0
1981-01-06,0.11383240261967936,0.11383240261967936,0.1133928969502449,0.1133928969502449,45158400,0.0,0.0
1981-01-07,0.10899783269319548,0.10899783269319548,0.10855832695960997,0.10855832695960999,55686400,0.0,0.0
1981-01-08,0.1068002464563215,0.1068002464563215,0.10636074095964433,0.10636074095964432,39827200,0.0,0.0
