Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-12-19,5.957578064790413,6.001708272677749,5.913447856903076,5.913447856903076,883600,0.0,0.0
1986-12-22,5.9575806645786065,6.089971346013686,5.913450437433579,6.001710891723633,371600,0.0,0.0
1986-12-23,6.045838480565085,6.089968688452422,5.8693176490157395,5.913447856903076,282800,0.0,0.0
1986-12-24,5.913447738590097,5.913447738590097,5.869317531585693,5.869317531585693,189200,0.0,0.0
1986-12-26,5.8693176490157395,5.913447856903076,5.825187441128404,5.913447856903076,180000,0.0,0.0
1986-12-29,5.8693176490157395,5.913447856903076,5.73692702535373,5.913447856903076,462000,0.0,0.0
1986-12-30,5.86931874369847,5.913448959816503,5.736928095344369,5.781058311462402,485200,0.0,0.0
1986-12-31,5.847253635639452,5.913448959816503,5.781058311462402,5.781058311462402,378400,0.0,0.0
1987-01-02,5.781056707717953,5.913447319345082,5.736926503842243,5.891382217407227,363600,0.0,0.0
1987-01-05,5.913448274952092,6.487141018044459,5.913448274952092,6.4430108070373535,1222000,0.0,0.0
1987-01-06,6.4430093563778295,6.4430093563778295,6.222358351022424,6.266488552093506,1120000,0.0,0.0
1987-01-07,6.354748077392578,6.6195292472839355,6.354748077392578,6.6195292472839355,976800,0.0,0.0
1987-01-08,6.619529877939532,6.884311073057113,6.575399678753268,6.84018087387085,1178800,0.0,0.0
1987-01-09,6.840182420534965,6.97257304802919,6.796052211370223,6.884312629699707,659600,0.0,0.0
1987-01-12,6.840182803324516,6.884313014958868,6.663661956787109,6.663661956787109,1713600,0.0,0.0
1987-01-13,6.663661956787109,6.663661956787109,6.487141110249702,6.663661956787109,1000000,0.0,0.0
1987-01-14,6.663659442265828,6.707789637247721,6.53126885732015,6.6195292472839355,1237600,0.0,0.0
1987-01-15,6.575400832603718,6.619531039533944,6.31061959102236,6.3988800048828125,2141600,0.0,0.0
1987-01-16,6.398879155306749,6.398879155306749,6.222358351022424,6.266488552093506,722400,0.0,0.0
1987-01-19,6.266489963008933,6.487141018044459,6.266489963008933,6.4430108070373535,1030000,0.0,0.0
1987-01-20,6.487139945062215,6.619530556185934,6.443009741354309,6.575400352478027,895200,0.0,0.0
1987-01-21,6.487141018044459,6.531271229051564,6.354750385023143,6.4430108070373535,923200,0.0,0.0
1987-01-22,6.487138662338257,6.6195292472839355,6.443008467356364,6.6195292472839355,372800,0.0,0.0
1987-01-23,6.6195317451527576,6.972573438227571,6.531271321884054,6.663661956787109,1741600,0.0,0.0
1987-01-26,6.707794266778069,6.707794266778069,6.487143139581422,6.531273365020752,456800,0.0,0.0
1987-01-27,6.531269479567005,6.84018087387085,6.531269479567005,6.84018087387085,666400,0.0,0.0
1987-01-28,6.84018461959167,7.016705513000488,6.751924172887262,7.016705513000488,937200,0.0,0.0
1987-01-29,7.0608318698021675,7.1049620689884305,6.796050674684586,6.84018087387085,712000,0.0,0.0
1987-01-30,6.884314963288629,6.884314963288629,6.663663842670404,6.862249851226807,445200,0.0,0.0
1987-02-02,6.884311073057113,6.928441272243377,6.796050674684586,6.84018087387085,483600,0.0,0.0
